date,household_id,daily_consumption_liters,pressure_psi,temperature_celsius,population_density
2024-04-12,HH0489,272.49,52.58,19.01,5426
2024-03-28,HH0481,407.08,51.96,20.35,1769
2024-03-28,HH0496,276.53,52.71,22.14,7396
2024-03-29,HH0252,253.8,44.94,26.57,3747
2024-01-15,HH0081,373.28,48.87,37.8,4556
2024-02-20,HH0060,319.71,48.53,24.85,9792
2024-02-29,HH0015,366.8,55.6,28.9,1775
2024-06-23,HH0129,244.95,44.03,22.95,8555
2024-01-02,HH0010,231.1,48.23,14.11,1995
2024-01-14,HH0209,247.81,53.73,15.82,2016
2024-02-09,HH0183,323.66,53.3,27.3,7331
2024-05-03,HH0342,304.3,45.78,22.43,9006
2024-01-09,HH0411,724.79,53.06,30.15,6892
2024-02-10,HH0253,346.56,49.16,30.82,4104
2024-02-17,HH0148,373.45,44.38,17.13,6056
2024-04-10,HH0404,331.9,52.34,28.68,1502
2024-05-21,HH0492,468.61,45.4,25.44,9755
2024-04-05,HH0284,285.05,51.49,19.86,2678
2024-06-19,HH0084,381.15,54.12,17.67,3693
2024-01-28,HH0122,344.63,56.86,25.88,6592
2024-05-08,HH0382,280.39,42.68,11.72,4748
2024-02-20,HH0215,317.28,46.67,22.43,2495
2024-06-28,HH0083,312.88,49.63,24.91,8280
2024-04-10,HH0122,216.32,50.51,22.84,5737
2024-02-23,HH0109,296.0,48.79,26.69,6791
2024-06-08,HH0168,398.73,48.93,21.55,9958
2024-02-07,HH0391,370.14,42.99,20.6,9800
2024-05-03,HH0145,303.84,53.95,27.16,3811
2024-06-12,HH0262,300.46,48.17,19.69,3976
2024-06-16,HH0203,323.68,46.08,23.39,6534
2024-02-11,HH0439,340.68,43.85,31.82,3049
2024-05-08,HH0466,426.96,42.8,30.95,4170
2024-05-26,HH0181,326.1,51.48,28.09,2648
2024-06-12,HH0236,360.85,51.47,21.43,3961
2024-05-07,HH0141,292.85,40.33,24.98,5911
2024-05-27,HH0355,280.83,54.34,29.79,5735
2024-02-02,HH0499,331.71,65.31,27.7,4436
2024-02-20,HH0206,225.09,56.05,27.69,5893
2024-04-06,HH0164,286.77,63.6,20.18,5642
2024-02-18,HH0451,348.86,49.94,25.95,2069
2024-04-26,HH0268,316.36,52.53,28.03,1606
2024-04-08,HH0274,202.79,48.91,22.62,3975
2024-06-09,HH0093,253.7,47.44,25.87,2895
2024-06-22,HH0018,319.27,50.29,19.29,2409
2024-01-17,HH0036,322.49,58.89,17.24,9716
2024-02-29,HH0121,274.48,57.19,25.04,3368
2024-01-08,HH0421,347.7,53.26,19.24,6919
2024-03-26,HH0141,224.96,50.75,25.7,5777
2024-03-10,HH0394,317.72,40.6,22.29,1004
2024-04-12,HH0471,338.84,50.23,21.74,5142
2024-04-08,HH0257,368.17,54.14,14.87,5752
2024-04-29,HH0317,309.32,46.04,24.43,9932
2024-04-26,HH0052,293.21,46.03,17.26,6237
2024-02-17,HH0312,282.84,50.92,27.89,5070
2024-03-09,HH0408,233.66,59.22,31.33,3744
2024-01-29,HH0080,264.62,52.22,28.87,7617
2024-06-24,HH0326,272.54,55.48,22.9,3849
2024-06-28,HH0197,306.96,50.29,36.74,5611
2024-01-16,HH0319,309.95,47.0,28.24,2687
2024-05-19,HH0403,306.3,46.92,35.56,3738
2024-06-19,HH0457,292.41,52.94,22.57,9967
2024-04-02,HH0456,310.38,46.89,23.22,8668
2024-04-23,HH0445,344.98,51.54,21.85,6988
2024-05-31,HH0248,343.84,49.9,25.59,6073
2024-04-05,HH0324,327.35,48.99,32.76,3914
2024-04-14,HH0285,278.02,48.37,41.27,1728
2024-03-26,HH0311,270.52,48.51,26.96,3782
2024-05-07,HH0363,293.77,45.73,24.93,8266
2024-05-19,HH0150,360.25,44.02,28.12,3156
2024-02-11,HH0409,331.42,51.62,33.38,9010
2024-05-25,HH0348,304.5,50.41,17.8,7938
2024-05-01,HH0461,280.83,42.09,25.4,2365
2024-05-24,HH0452,266.79,56.8,26.55,5186
2024-03-30,HH0245,373.77,42.07,22.89,5849
2024-05-05,HH0133,316.14,45.86,27.46,2214
2024-04-22,HH0157,304.44,37.18,30.71,3105
2024-02-13,HH0177,302.28,51.95,24.16,7190
2024-02-18,HH0378,314.26,60.77,21.16,9053
2024-01-03,HH0138,294.45,54.88,20.8,4719
2024-02-29,HH0369,270.03,40.44,26.81,8891
2024-06-05,HH0029,293.86,53.24,25.71,6124
2024-04-28,HH0277,351.86,49.46,32.64,8449
2024-03-03,HH0080,357.68,48.12,26.09,6989
2024-01-03,HH0302,275.78,47.75,28.11,8245
2024-04-19,HH0239,257.57,45.32,26.68,4419
2024-04-04,HH0106,324.72,51.21,35.24,1770
2024-05-02,HH0349,346.85,47.15,22.18,2252
2024-03-25,HH0032,426.96,51.02,25.25,7241
2024-03-22,HH0030,240.84,39.8,26.0,6115
2024-01-30,HH0376,191.46,41.48,24.72,5164
2024-02-03,HH0007,223.84,56.03,15.9,7254
2024-05-30,HH0064,345.73,44.49,27.44,9472
2024-04-05,HH0477,402.75,48.4,22.35,4900
2024-01-22,HH0361,260.36,49.46,19.82,3393
2024-02-15,HH0088,302.87,38.59,21.5,7493
2024-04-16,HH0012,310.7,49.44,23.9,2276
2024-06-28,HH0190,272.64,43.86,17.42,1364
